model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
rf_DOGEUSDT_60_1h.pkl,ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,68,50,18,73.52941176470588,73.2097070952048,73.2097070952048,1.832677421848455,-1.0235646665121079,4.973570095569031,2.4035156359110323,11.947422889589843
rf_DOGEUSDT_60_1h.pkl,triple_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,69,50,19,72.46376811594203,71.34424040637032,71.34424040637032,1.8158538790492624,-1.0236028182154122,4.668376009294747,1.7220669187874718,11.43883291099082
rf_DOGEUSDT_60_1h.pkl,rf_DOGEUSDT_15_15m.pkl,DOGEUSDT,65,49,16,75.38461538461539,70.74355987087449,70.74355987087449,1.7716078240808846,-1.0040764693180542,5.403521670946653,1.6292863705109752,12.99442931610528
ensemble_DOGEUSDT_60_1h.pkl,xgb_DOGEUSDT_15_15m.pkl,DOGEUSDT,70,51,19,72.85714285714285,70.10693852037247,70.10693852037247,1.7790981663497707,-1.0856351559718842,4.398783513223707,2.050061473481157,11.007078479953977
ensemble_DOGEUSDT_60_1h.pkl,triple_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,71,51,20,71.83098591549296,69.3061687106152,69.3061687106152,1.7758102356683043,-1.0630076654234155,4.259909169281919,1.3723461875443181,10.714656668109964
ensemble_DOGEUSDT_60_1h.pkl,ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,70,50,20,71.42857142857143,68.22992830891741,68.22992830891741,1.780847204809672,-1.0406215965783063,4.278325595647158,1.8265868860169332,10.687614474864144
quad_ensemble_DOGEUSDT_60_1h.pkl,xgb_DOGEUSDT_15_15m.pkl,DOGEUSDT,64,47,17,73.4375,67.95100431159972,67.95100431159972,1.8251019763672458,-1.0487522692741689,4.811307987394107,2.624750392362305,11.630683952264214
rf_DOGEUSDT_60_1h.pkl,xgb_DOGEUSDT_15_15m.pkl,DOGEUSDT,70,49,21,70.0,67.084632823388,67.084632823388,1.8214140005050152,-1.055459676255132,4.026649332788948,2.6933265659632335,10.290252405266775
quad_ensemble_DOGEUSDT_60_1h.pkl,triple_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,64,46,18,71.875,67.03103700820176,67.03103700820176,1.8613735329688348,-1.0328969726869266,4.60534167388289,1.9605600371875567,11.346874987755719
quad_ensemble_DOGEUSDT_60_1h.pkl,ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,61,44,17,72.1311475409836,66.42335017129798,66.42335017129798,1.9133056396144157,-1.0448292924550773,4.739611743893836,1.9663891639726154,11.71193683720227
triple_ensemble_DOGEUSDT_60_1h.pkl,ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,67,47,20,70.1492537313433,65.83497667464178,65.83497667464178,1.8199773964464578,-0.9851980479170838,4.3412051928965365,1.9984117242006267,10.820088538807706
triple_ensemble_DOGEUSDT_60_1h.pkl,triple_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,67,47,20,70.1492537313433,65.60366017548742,65.60366017548742,1.8245356584873498,-1.0074757886708992,4.2558430144527,1.995161016556456,10.728647766290267
quad_ensemble_DOGEUSDT_60_1h.pkl,rf_DOGEUSDT_15_15m.pkl,DOGEUSDT,61,44,17,72.1311475409836,65.48861350038203,65.48861350038203,1.8636117384587485,-0.9711942936354651,4.966530083239298,1.6470446742775944,12.323619608971452
xgb_DOGEUSDT_60_1h.pkl,ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,68,48,20,70.58823529411765,65.40251353214947,65.40251353214947,1.7954575513576094,-1.0389724466507886,4.1474614049188565,2.0026536330148828,10.549739665402415
xgb_DOGEUSDT_60_1h.pkl,triple_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,68,48,20,70.58823529411765,65.22125127278119,65.22125127278119,1.790496187284585,-1.0361282858439442,4.147354056629068,2.004842122117902,10.547786594481376
xgb_DOGEUSDT_60_1h.pkl,xgb_DOGEUSDT_15_15m.pkl,DOGEUSDT,67,47,20,70.1492537313433,64.67998841716494,64.67998841716494,1.8046146044790092,-1.0068448996674273,4.212013510647441,2.704493028427386,10.592071865311983
xgb_DOGEUSDT_60_1h.pkl,rf_DOGEUSDT_15_15m.pkl,DOGEUSDT,66,48,18,72.72727272727273,64.62318567434428,64.62318567434428,1.735030588712765,-1.0365712546593526,4.463512002450673,1.753310289970962,11.495181876280379
triple_ensemble_DOGEUSDT_60_1h.pkl,xgb_DOGEUSDT_15_15m.pkl,DOGEUSDT,66,46,20,69.6969696969697,63.98105634097874,63.98105634097874,1.8372926331339077,-1.0267202391590495,4.115797950636649,2.693269683281505,10.452692218735608
triple_ensemble_DOGEUSDT_60_1h.pkl,rf_DOGEUSDT_15_15m.pkl,DOGEUSDT,66,47,19,71.21212121212122,63.28779602185443,63.28779602185443,1.758211979328361,-1.0183245792936058,4.270996989034474,1.7768040480463765,11.116905643412968
ensemble_DOGEUSDT_60_1h.pkl,rf_DOGEUSDT_15_15m.pkl,DOGEUSDT,64,46,18,71.875,61.24093204139916,61.24093204139916,1.7448249807947533,-1.0567231708421936,4.219645500522516,1.9096386245901604,11.01562323523862
triple_ensemble_DOGEUSDT_60_1h.pkl,quad_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,65,45,20,69.23076923076923,54.38662444152189,54.38662444152189,1.7352900110021219,-1.185071302678676,3.2946562083897044,3.215840314847154,8.833497609130221
ensemble_DOGEUSDT_60_1h.pkl,quad_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,67,46,21,68.65671641791045,52.70800533076226,52.70800533076226,1.663905434596334,-1.1348402219366223,3.2116814043367214,2.052867012804481,8.674495748623555
rf_DOGEUSDT_60_1h.pkl,quad_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,68,46,22,67.64705882352942,52.4227317069882,52.4227317069882,1.697908533356721,-1.1673209467009498,3.04129930843877,2.76738179895297,8.282144941550044
quad_ensemble_DOGEUSDT_60_1h.pkl,quad_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,66,44,22,66.66666666666666,49.36234811401252,49.36234811401252,1.755506972618337,-1.2672708491451954,2.7705316094068904,3.326949807489995,7.606975353258379
xgb_DOGEUSDT_60_1h.pkl,quad_ensemble_DOGEUSDT_15_15m.pkl,DOGEUSDT,63,42,21,66.66666666666666,48.66992120981104,48.66992120981104,1.753348700797648,-1.1890821058900092,2.949079280753778,3.7335906662369878,7.890965292133813
