model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
ensemble_ETHUSDT_60_1h.pkl,ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,118,82,36,69.49152542372882,156.62647635522558,156.62647635522558,2.4265847136089502,-1.1764852822418947,4.698078947508056,2.474612820370772,12.136244328969877
quad_ensemble_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,133,88,45,66.16541353383458,155.63601230960492,155.63601230960492,2.3607943833524017,-1.1580865205645827,3.9864591202032615,2.3862585593881396,10.827327398832999
ensemble_ETHUSDT_60_1h.pkl,xgb_ETHUSDT_15_15m.pkl,ETHUSDT,113,75,38,66.3716814159292,155.31915535694404,155.31915535694404,2.655631424406019,-1.1540316177238772,4.54179740903924,2.486502725736914,11.58740428649481
quad_ensemble_ETHUSDT_60_1h.pkl,ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,122,81,41,66.39344262295081,153.78802712795937,153.78802712795937,2.48051508330299,-1.149602307794706,4.262804419835654,2.4959048358681284,11.283284325137677
rf_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,132,87,45,65.9090909090909,148.83289810393842,148.83289810393842,2.331912214426271,-1.200965878914379,3.75394812934471,2.534170079074693,10.382995900551512
quad_ensemble_ETHUSDT_60_1h.pkl,rf_ETHUSDT_15_15m.pkl,ETHUSDT,135,86,49,63.70370370370371,146.85912842439498,146.85912842439498,2.3683208394354516,-1.1595196687153821,3.5847988186402158,2.464960485297447,9.849335500444472
ensemble_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,130,85,45,65.38461538461539,143.67620791094325,143.67620791094325,2.3064088930391953,-1.1637455110530754,3.743559128622554,2.549925282340265,10.250552364099597
xgb_ETHUSDT_60_1h.pkl,xgb_ETHUSDT_15_15m.pkl,ETHUSDT,117,73,44,62.39316239316239,143.22467418401484,143.22467418401484,2.6687792476845456,-1.1726411567490223,3.775875819060619,2.811463320555129,10.039368715132998
rf_ETHUSDT_60_1h.pkl,rf_ETHUSDT_15_15m.pkl,ETHUSDT,131,85,46,64.8854961832061,142.72479355993383,142.72479355993383,2.321708267615886,-1.1874001997264438,3.613030471269615,2.5822999286886903,10.02242197946643
ensemble_ETHUSDT_60_1h.pkl,triple_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,118,75,43,63.559322033898304,142.57622753156525,142.57622753156525,2.5420333745982022,-1.118052920076743,3.96562547454079,2.596189718551672,10.583344362211749
quad_ensemble_ETHUSDT_60_1h.pkl,xgb_ETHUSDT_15_15m.pkl,ETHUSDT,117,72,45,61.53846153846154,142.4440266830523,142.4440266830523,2.70299822785384,-1.1593743493872015,3.7302853619730807,2.549899179749504,9.9095312347629
rf_ETHUSDT_60_1h.pkl,triple_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,119,77,42,64.70588235294117,142.2670316213363,142.2670316213363,2.5082684978538983,-1.2111819693669985,3.796698070454927,2.667115731722949,10.37606229855947
quad_ensemble_ETHUSDT_60_1h.pkl,triple_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,120,76,44,63.33333333333333,141.50877019402287,141.50877019402287,2.5286702756339636,-1.1515947898672378,3.7927431087729127,2.5608848679085408,10.237145405191647
xgb_ETHUSDT_60_1h.pkl,ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,121,77,44,63.63636363636363,141.24458913282376,141.24458913282376,2.506766855050519,-1.176737697865143,3.7279692868657914,2.9247429674924117,10.192876404999238
ensemble_ETHUSDT_60_1h.pkl,rf_ETHUSDT_15_15m.pkl,ETHUSDT,133,83,50,62.40601503759399,139.8499809698237,139.8499809698237,2.3648142812157316,-1.128592087421639,3.4783087269258184,2.6062835867418848,9.583827017191577
rf_ETHUSDT_60_1h.pkl,xgb_ETHUSDT_15_15m.pkl,ETHUSDT,114,71,43,62.28070175438597,138.88434431911384,138.88434431911384,2.6800512027269576,-1.1953323505697688,3.702067312909234,2.65863820905164,9.934554305137947
rf_ETHUSDT_60_1h.pkl,ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,122,78,44,63.934426229508205,138.30049822156485,138.30049822156485,2.4512572373496035,-1.2022174157205514,3.6144964299284617,2.6843535346514034,9.99926980448038
xgb_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,134,82,52,61.19402985074627,134.82066724893917,134.82066724893917,2.372810405836139,-1.1490343467235435,3.256420921442201,3.0880590397367986,9.10430501785636
