model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
ensemble_XAUTUSDT_60_1h.pkl,ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,71,55,16,77.46478873239437,65.48671025346408,65.48671025346408,1.4783260520698827,-0.9888264131487238,5.139168752388399,1.7265867478237347,11.51844134454859
ensemble_XAUTUSDT_60_1h.pkl,xgb_XAUTUSDT_15_15m.pkl,XAUTUSDT,69,54,15,78.26086956521739,65.48241347765742,65.48241347765742,1.4939579363710858,-1.0127543390920881,5.310516443461886,1.7258195989490484,11.822628261367612
ensemble_XAUTUSDT_60_1h.pkl,quad_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,72,55,17,76.38888888888889,64.68684807303887,64.68684807303887,1.480796784340069,-0.9857044156273571,4.860293866855577,1.72306905834708,11.161036796808853
ensemble_XAUTUSDT_60_1h.pkl,triple_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,70,54,16,77.14285714285715,64.40551644213,64.40551644213,1.4934440926650967,-1.0150290351115823,4.9657434796341695,1.7258195989491236,11.35204068286948
rf_XAUTUSDT_60_1h.pkl,ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,70,55,15,78.57142857142857,59.149361365632274,59.14936136563227,1.3729174761197818,-1.0907399880637165,4.615243596880459,2.8743576264244757,10.935771510760295
ensemble_XAUTUSDT_60_1h.pkl,rf_XAUTUSDT_15_15m.pkl,XAUTUSDT,75,52,23,69.33333333333334,58.41842709468057,58.41842709468057,1.5235415009779154,-0.9045969980943979,3.8078046004604844,4.714936331371959,9.3122765282045
rf_XAUTUSDT_60_1h.pkl,xgb_XAUTUSDT_15_15m.pkl,XAUTUSDT,69,54,15,78.26086956521739,58.31714567812273,58.31714567812273,1.38293047220218,-1.090739988053003,4.564378086857051,2.873069498357934,10.866921984818225
triple_ensemble_XAUTUSDT_60_1h.pkl,ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,67,51,16,76.11940298507463,56.35269595353162,56.352695953531615,1.456660432183799,-1.1210616304901397,4.141703721994166,4.004615737836993,10.200192299662948
rf_XAUTUSDT_60_1h.pkl,quad_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,72,55,17,76.38888888888889,55.779653089991456,55.779653089991456,1.3528970285042559,-1.0958637339848627,3.994127793777749,2.8716105582175953,9.907280362478636
triple_ensemble_XAUTUSDT_60_1h.pkl,xgb_XAUTUSDT_15_15m.pkl,XAUTUSDT,68,51,17,75.0,55.74686387101593,55.746863871015925,1.4569323522419737,-1.091569770195575,4.004138971293435,4.021909501733461,9.931926282604671
triple_ensemble_XAUTUSDT_60_1h.pkl,quad_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,70,52,18,74.28571428571429,55.549673036859474,55.549673036859474,1.443302290462538,-1.083447003732925,3.848402308427928,4.021799271681384,9.65317402694351
xgb_XAUTUSDT_60_1h.pkl,xgb_XAUTUSDT_15_15m.pkl,XAUTUSDT,75,53,22,70.66666666666667,54.89969900343675,54.89969900343675,1.4662791238582369,-1.0369588436840846,3.406499427621283,3.961767723451093,8.609272331779625
rf_XAUTUSDT_60_1h.pkl,triple_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,71,54,17,76.05633802816901,54.73310301109416,54.73310301109415,1.3604921478690613,-1.1019689984608931,3.9216741117644984,2.8730694983599934,9.761913167499253
triple_ensemble_XAUTUSDT_60_1h.pkl,triple_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,69,51,18,73.91304347826086,54.53586020693476,54.535860206934764,1.4539588881728842,-1.0897801716601365,3.780166211760776,4.0227956218372976,9.51914203603864
rf_XAUTUSDT_60_1h.pkl,rf_XAUTUSDT_15_15m.pkl,XAUTUSDT,72,54,18,75.0,53.79787960141391,53.79787960141391,1.3576013314524489,-1.0840329053899067,3.757085208490451,2.882450318519447,9.422416781595564
xgb_XAUTUSDT_60_1h.pkl,ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,77,53,24,68.83116883116884,51.90356951566045,51.90356951566045,1.447642457096684,-1.0342283629359945,3.0910746671845266,4.060667507092045,7.999031833907158
triple_ensemble_XAUTUSDT_60_1h.pkl,rf_XAUTUSDT_15_15m.pkl,XAUTUSDT,71,50,21,70.4225352112676,51.8517545658344,51.8517545658344,1.4676558200048762,-1.0252874492575945,3.4082330975469572,4.076082416526634,8.689663760218904
xgb_XAUTUSDT_60_1h.pkl,quad_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,79,54,25,68.35443037974683,51.504847685984686,51.504847685984686,1.4309571927798008,-1.030673628964984,2.9988809740948352,4.058723309229179,7.798136359513493
xgb_XAUTUSDT_60_1h.pkl,triple_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,76,52,24,68.42105263157895,51.273127355417216,51.273127355417216,1.4713547140149479,-1.0515549072233412,3.031639329340284,4.034142389447903,7.826460095958876
xgb_XAUTUSDT_60_1h.pkl,rf_XAUTUSDT_15_15m.pkl,XAUTUSDT,78,51,27,65.38461538461539,49.82120601530332,49.82120601530332,1.485961901989627,-0.9615870735617699,2.9189420315144297,4.069989989659663,7.482373371847521
quad_ensemble_XAUTUSDT_60_1h.pkl,ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,70,49,21,70.0,49.364060509404965,49.364060509404965,1.460104745204504,-1.0562415240769416,3.225503821316976,4.056485926586204,8.332351772480239
quad_ensemble_XAUTUSDT_60_1h.pkl,xgb_XAUTUSDT_15_15m.pkl,XAUTUSDT,70,49,21,70.0,49.36030620971894,49.36030620971894,1.4600281268411381,-1.0562415240712792,3.2253345644199043,4.054657761016924,8.336461142086073
quad_ensemble_XAUTUSDT_60_1h.pkl,quad_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,71,49,22,69.01408450704226,47.887059299228525,47.887059299228525,1.4491219468545278,-1.0509052771201528,3.071247105701259,4.054545728769356,7.9690454941756865
quad_ensemble_XAUTUSDT_60_1h.pkl,rf_XAUTUSDT_15_15m.pkl,XAUTUSDT,76,50,26,65.78947368421053,46.54763415722849,46.54763415722849,1.4222101869801305,-0.9447259689145407,2.895040128397076,4.109123413066363,7.41286049514944
quad_ensemble_XAUTUSDT_60_1h.pkl,triple_ensemble_XAUTUSDT_15_15m.pkl,XAUTUSDT,71,48,23,67.6056338028169,46.280776218750816,46.280776218750816,1.4609329544043483,-1.0366958953329555,2.940981603904736,4.054657761014986,7.636312672145501
