model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
xgb_XRPUSDT_60_1h.pkl,ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,131,96,35,73.2824427480916,191.96763934590638,191.96763934590638,2.4949482735855257,-1.3584969976658279,5.037395522420221,2.6965593704957866,12.747724556029327
triple_ensemble_XRPUSDT_60_1h.pkl,triple_ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,130,92,38,70.76923076923077,181.81322009064678,181.81322009064678,2.5201117794799983,-1.3167648321450784,4.633570935854793,2.7879358845745,11.92129879674
xgb_XRPUSDT_60_1h.pkl,rf_XRPUSDT_15_15m.pkl,XRPUSDT,145,102,43,70.34482758620689,181.51702538219223,181.51702538219223,2.3323036897007654,-1.3111151387740925,4.219645664091618,2.9632469802687496,11.231958575575158
xgb_XRPUSDT_60_1h.pkl,triple_ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,131,90,41,68.70229007633588,174.41288856986756,174.41288856986756,2.532830086031988,-1.3058980286100343,4.257507706383332,2.785627463158293,11.219310619858962
triple_ensemble_XRPUSDT_60_1h.pkl,xgb_XRPUSDT_15_15m.pkl,XRPUSDT,117,79,38,67.52136752136752,161.12366535170548,161.12366535170548,2.7013108291158083,-1.3757865828537696,4.081943456541546,2.918499660904557,10.740092788138766
xgb_XRPUSDT_60_1h.pkl,quad_ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,135,87,48,64.44444444444444,149.32175156080368,149.32175156080368,2.437111471737713,-1.3063947183411966,3.381263319966156,4.437435945903699,9.258261181166034
ensemble_XRPUSDT_60_1h.pkl,ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,122,80,42,65.57377049180327,148.32878827121746,148.32878827121746,2.5443527632991128,-1.314748399826465,3.686170081247113,2.901917745883817,9.95811107215807
ensemble_XRPUSDT_60_1h.pkl,triple_ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,123,80,43,65.04065040650406,146.72385035903554,146.72385035903554,2.5355588140817744,-1.3051361573838698,3.614426508057887,3.290415490265195,9.789206586198267
xgb_XRPUSDT_60_1h.pkl,xgb_XRPUSDT_15_15m.pkl,XRPUSDT,121,76,45,62.8099173553719,144.10771782017196,144.10771782017196,2.6619907868004433,-1.2934129328147026,3.4759252425040814,3.058660368585075,9.359898826965841
triple_ensemble_XRPUSDT_60_1h.pkl,rf_XRPUSDT_15_15m.pkl,XRPUSDT,140,87,53,62.142857142857146,141.2506632687339,141.2506632687339,2.402503982079891,-1.2786260975889892,3.084351992464766,4.839635398068284,8.48888060219169
triple_ensemble_XRPUSDT_60_1h.pkl,ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,125,79,46,63.2,139.77778423451562,139.77778423451562,2.530114079932988,-1.3065484365258775,3.325705958088184,5.243700375007665,9.117132091199826
ensemble_XRPUSDT_60_1h.pkl,rf_XRPUSDT_15_15m.pkl,XRPUSDT,138,85,53,61.59420289855072,136.95218445066592,136.95218445066592,2.402859796886129,-1.2696395902765072,3.035225980656834,2.7596505088092855,8.347649032657866
quad_ensemble_XRPUSDT_60_1h.pkl,ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,130,80,50,61.53846153846154,135.9718810342605,135.9718810342605,2.523447085708996,-1.3180777164491833,3.0631845806567464,7.580399494653792,8.429442881811564
quad_ensemble_XRPUSDT_60_1h.pkl,triple_ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,128,78,50,60.9375,134.41385459398705,134.41385459398705,2.543730573487127,-1.2799426027601764,3.100310659308092,7.448606557709334,8.46438282080123
quad_ensemble_XRPUSDT_60_1h.pkl,rf_XRPUSDT_15_15m.pkl,XRPUSDT,145,87,58,60.0,132.88233070641758,132.88233070641758,2.355571523029949,-1.242282617192897,2.8442459353806426,7.563432755599692,7.820129425088012
rf_XRPUSDT_60_1h.pkl,triple_ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,128,77,51,60.15625,130.54598423193664,130.54598423193664,2.540221871333653,-1.2755117619755807,3.0068220908082615,6.575203171666119,8.262184861310997
ensemble_XRPUSDT_60_1h.pkl,xgb_XRPUSDT_15_15m.pkl,XRPUSDT,115,70,45,60.86956521739131,127.79602524805031,127.79602524805031,2.699836588704431,-1.3598341324724397,3.0884250544699823,3.115344301209048,8.411416159328123
rf_XRPUSDT_60_1h.pkl,ensemble_XRPUSDT_15_15m.pkl,XRPUSDT,133,78,55,58.64661654135338,125.05244780345424,125.05244780345424,2.5148561113512597,-1.2928423433080742,2.758668317852204,6.501243751714,7.587292661368579
rf_XRPUSDT_60_1h.pkl,rf_XRPUSDT_15_15m.pkl,XRPUSDT,141,82,59,58.156028368794324,121.31347258713501,121.31347258713501,2.3768423257999167,-1.24724742590607,2.6485586657600133,5.286074311010157,7.24785113843016
quad_ensemble_XRPUSDT_60_1h.pkl,xgb_XRPUSDT_15_15m.pkl,XRPUSDT,120,69,51,57.49999999999999,117.68155122138984,117.68155122138984,2.691626720227844,-1.3341312249868895,2.729576036660498,7.931333742741625,7.41139939510082
