model_1h,model_15m,total_pnl_pct,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,total_trades,predicted_pnl_pct,predicted_score,composite_score
xgb_SOLUSDT_60_1h,xgb_SOLUSDT_15_15m,160.61957599899807,0.6408450704225352,3.285018944129633,8.877992899877126,5.984776297462241,142,91.75549452843504,63.65336733696347,85.41036827628463
ensemble_SOLUSDT_60_1h,xgb_SOLUSDT_15_15m,157.45311376702904,0.6357142857142857,3.239971968124882,8.777285744928584,5.969224524090423,140,88.28744352677883,61.06220721381014,83.9309323063328
triple_ensemble_SOLUSDT_60_1h,xgb_SOLUSDT_15_15m,155.11282589161314,0.624113475177305,3.2014583339878655,8.622426635238961,5.983665324982685,141,85.84979258361213,58.98972772940671,82.65480185521488
triple_ensemble_SOLUSDT_60_1h,triple_ensemble_SOLUSDT_15_15m,153.96169256070903,0.644927536231884,3.2789254260533536,8.855962505228788,5.831988244797726,138,97.09604101595721,63.78604442067438,82.81227110207377
xgb_SOLUSDT_60_1h,ensemble_SOLUSDT_15_15m,153.76565237364446,0.6408450704225352,3.192369412111348,8.645469324901782,5.9027947370043,142,88.87090065133012,62.42518166278118,82.43699504711154
xgb_SOLUSDT_60_1h,rf_SOLUSDT_15_15m,150.93623359624306,0.6308724832214765,3.2097447051021053,9.03655536196236,2.7963523787454947,149,84.57039026281353,60.2334308932005,81.21874358552343
quad_ensemble_SOLUSDT_60_1h,triple_ensemble_SOLUSDT_15_15m,150.178317154028,0.635036496350365,3.2002907698985066,8.660553705991775,5.777687572408564,137,93.27857205278495,60.8624400967351,80.90474906961387
xgb_SOLUSDT_60_1h,triple_ensemble_SOLUSDT_15_15m,148.4435365571945,0.624113475177305,3.074290129073913,8.325706227301247,6.011299135245606,141,103.00174296078012,68.44968402823113,79.67340563003198
ensemble_SOLUSDT_60_1h,ensemble_SOLUSDT_15_15m,146.3142037597031,0.6267605633802817,3.021597289955242,8.18332509185878,6.050728676847195,142,85.40284964967391,59.834021539627855,78.74075236976913
xgb_SOLUSDT_60_1h,quad_ensemble_SOLUSDT_15_15m,145.55756070820547,0.6275862068965518,3.151886419297128,8.90917641032125,2.9262746518103553,145,79.08215985686738,58.28411602883157,78.86035654187174
rf_SOLUSDT_60_1h,triple_ensemble_SOLUSDT_15_15m,142.78951087684464,0.6277372262773723,3.0188515981761572,8.185537071878178,5.8554155710080895,137,99.87822578090562,66.50368864802692,77.34535948701325
ensemble_SOLUSDT_60_1h,triple_ensemble_SOLUSDT_15_15m,142.78631846471822,0.6214285714285714,2.967134058398698,8.045787270124475,6.0695989356932785,140,99.53369195912391,65.85852390507782,77.08652438528101
rf_SOLUSDT_60_1h,ensemble_SOLUSDT_15_15m,137.75554984387045,0.6071428571428571,2.8505544549568134,7.722681670566984,6.089209296011376,140,85.74738347145562,60.47918628257696,74.49072232443235
rf_SOLUSDT_60_1h,xgb_SOLUSDT_15_15m,137.11509653395055,0.6,2.7711524937318255,7.496082592759192,6.384478303785151,140,88.63197734856054,61.70737195675926,73.8875601195957
rf_SOLUSDT_60_1h,rf_SOLUSDT_15_15m,133.41903969306384,0.6,2.855434379549685,8.044945985693642,2.40622102561969,145,81.44687308293904,58.28743551299628,72.68747383346364
