model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
quad_ensemble_ADAUSDT_60_1h.pkl,triple_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,141,90,51,63.829787234042556,156.37718965304452,156.37718965304452,2.462864087618401,-1.280011337894344,3.3954626917646493,4.3556771440797535,9.27110499213654
quad_ensemble_ADAUSDT_60_1h.pkl,xgb_ADAUSDT_15_15m.pkl,ADAUSDT,136,83,53,61.029411764705884,154.305046041936,154.305046041936,2.603410455458115,-1.1656230520959912,3.497733686563738,2.8083747529989407,9.5240642960728
xgb_ADAUSDT_60_1h.pkl,xgb_ADAUSDT_15_15m.pkl,ADAUSDT,136,83,53,61.029411764705884,153.6401379400683,153.6401379400683,2.6037207509777094,-1.178654422473239,3.459474526119566,3.230605135893176,9.419356052016585
rf_ADAUSDT_60_1h.pkl,rf_ADAUSDT_15_15m.pkl,ADAUSDT,151,95,56,62.913907284768214,150.79900403681955,150.79900403681955,2.2767685839334284,-1.1695359185152863,3.3024853834492585,2.6446235650762593,9.310953726649135
quad_ensemble_ADAUSDT_60_1h.pkl,ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,144,90,54,62.5,149.9269890024714,149.9269890024714,2.434484494790266,-1.2810484357157859,3.1673073748508656,4.449958753977976,8.728879693293683
triple_ensemble_ADAUSDT_60_1h.pkl,quad_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,144,91,53,63.19444444444444,147.95153056746642,147.95153056746642,2.3179872074959196,-1.1884019870690983,3.348984891449358,3.6223166205224597,9.36785667529421
xgb_ADAUSDT_60_1h.pkl,triple_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,141,86,55,60.99290780141844,143.4490490199534,143.4490490199534,2.492065298785043,-1.2885193941010953,3.0241562056231532,4.772703936637103,8.31594717318456
ensemble_ADAUSDT_60_1h.pkl,rf_ADAUSDT_15_15m.pkl,ADAUSDT,159,95,64,59.74842767295597,142.76630942130586,142.76630942130586,2.2975482962944755,-1.1796996676042062,2.8909249921534457,3.1434360712445897,8.21984494321614
ensemble_ADAUSDT_60_1h.pkl,quad_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,146,91,55,62.328767123287676,142.6152890977219,142.6152890977219,2.2851256554994515,-1.1878390100496028,3.182960177586638,3.230417049766854,8.979131508468326
rf_ADAUSDT_60_1h.pkl,xgb_ADAUSDT_15_15m.pkl,ADAUSDT,131,79,52,60.30534351145038,141.7792644534201,141.7792644534201,2.5861332532270342,-1.2024088952214538,3.267551684994618,2.7453822122862204,9.035987910509713
quad_ensemble_ADAUSDT_60_1h.pkl,rf_ADAUSDT_15_15m.pkl,ADAUSDT,161,96,65,59.62732919254658,141.0587466615085,141.0587466615085,2.277321179700452,-1.1932936398420735,2.8186090091877265,3.6845492266314737,8.000926095872192
triple_ensemble_ADAUSDT_60_1h.pkl,xgb_ADAUSDT_15_15m.pkl,ADAUSDT,132,77,55,58.333333333333336,140.30683217281833,140.30683217281833,2.6476825804016766,-1.155722300329285,3.2073064710322097,3.2161226184594724,8.745498047232655
triple_ensemble_ADAUSDT_60_1h.pkl,rf_ADAUSDT_15_15m.pkl,ADAUSDT,155,93,62,60.0,139.82032535203464,139.82032535203464,2.2956120973213845,-1.1882516080460295,2.8978863758025635,2.7700973568332077,8.25007938496367
rf_ADAUSDT_60_1h.pkl,triple_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,139,86,53,61.87050359712231,139.7978266322628,139.7978266322628,2.430551136664148,-1.3062183230349782,3.019336886952806,4.669751328942582,8.33638322802324
rf_ADAUSDT_60_1h.pkl,ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,138,84,54,60.86956521739131,135.71335172140203,135.71335172140203,2.441433998953727,-1.2845760035316827,2.9564511637718884,4.801986426569359,8.167184008877028
ensemble_ADAUSDT_60_1h.pkl,xgb_ADAUSDT_15_15m.pkl,ADAUSDT,134,78,56,58.2089552238806,135.3253877083733,135.3253877083733,2.5769931560307917,-1.172858543964794,3.0603718947535783,3.240532230867009,8.400879390730903
xgb_ADAUSDT_60_1h.pkl,quad_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,145,89,56,61.37931034482759,134.54007220249883,134.54007220249883,2.2824294765571174,-1.224931271626511,2.9613355826406518,3.7113277255755315,8.40128515626178
ensemble_ADAUSDT_60_1h.pkl,ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,139,83,56,59.71223021582733,131.33630816125697,131.33630816125697,2.442129199776032,-1.2742931325027413,2.840464456211184,4.8784560520001,7.805326743475431
xgb_ADAUSDT_60_1h.pkl,ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,141,84,57,59.57446808510638,131.02805695571152,131.02805695571152,2.429953814132067,-1.2822467268663487,2.7927422181424513,4.933075892033635,7.68266142211973
triple_ensemble_ADAUSDT_60_1h.pkl,triple_ensemble_ADAUSDT_15_15m.pkl,ADAUSDT,136,80,56,58.82352941176471,129.86514404052443,129.86514404052443,2.5141100262549188,-1.2725653224976596,2.8223193641199877,4.9442421338244,7.739101427689194
xgb_ADAUSDT_60_1h.pkl,rf_ADAUSDT_15_15m.pkl,ADAUSDT,156,91,65,58.333333333333336,129.17394265013917,129.17394265013917,2.268407848946808,-1.1884795631387737,2.6721292372401604,4.173304187864847,7.576172012618456
