model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
quad_ensemble_BNBUSDT_60_1h.pkl,triple_ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,87,58,29,66.66666666666666,109.71662523335559,109.71662523335559,2.485551152066578,-1.187770399534689,4.185238414832188,2.440138885418231,11.145986934271267
quad_ensemble_BNBUSDT_60_1h.pkl,ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,86,58,28,67.44186046511628,109.10798408537923,109.10798408537923,2.4543298047665054,-1.187255163967077,4.282119830344261,2.446290536253739,11.352319992729932
xgb_BNBUSDT_60_1h.pkl,ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,85,58,27,68.23529411764706,108.73975753528876,108.73975753528875,2.444830778759928,-1.2244602826958209,4.289121324838755,2.4723452345883707,11.576705605153752
xgb_BNBUSDT_60_1h.pkl,triple_ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,84,57,27,67.85714285714286,108.20517097143335,108.20517097143335,2.4894700378347996,-1.2479489327833417,4.211348493186835,2.48412027044886,11.42199419827316
rf_BNBUSDT_60_1h.pkl,ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,84,57,27,67.85714285714286,107.39180867669549,107.39180867669549,2.4576864927590165,-1.2109748670580933,4.284522663212591,2.431977369609399,11.44444985034071
ensemble_BNBUSDT_60_1h.pkl,ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,82,56,26,68.29268292682927,105.83721034286265,105.83721034286265,2.4569729083052656,-1.221279712393549,4.333111894805801,2.51414882699275,11.650464654649214
triple_ensemble_BNBUSDT_60_1h.pkl,triple_ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,83,56,27,67.46987951807229,105.50941496139535,105.50941496139534,2.4770790533066966,-1.2298893342140642,4.1773233582666025,2.6189375089158133,11.315299945846274
ensemble_BNBUSDT_60_1h.pkl,triple_ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,83,55,28,66.26506024096386,104.33406441126311,104.33406441126311,2.5124683100735163,-1.208989022956438,4.082092984603386,2.554909120673525,11.023795143703538
rf_BNBUSDT_60_1h.pkl,triple_ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,87,57,30,65.51724137931035,102.58565163872979,102.58565163872979,2.4521481416964575,-1.2395597479322762,3.7586582470067578,3.452557678633967,10.299909529932263
triple_ensemble_BNBUSDT_60_1h.pkl,ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,82,55,27,67.07317073170732,102.0714637484005,102.0714637484005,2.459608650403275,-1.2298893342140644,4.073792477182421,2.6185375952876297,11.095954106915624
quad_ensemble_BNBUSDT_60_1h.pkl,xgb_BNBUSDT_15_15m.pkl,BNBUSDT,77,51,26,66.23376623376623,97.39883562297268,97.39883562297268,2.550044586329366,-1.255901472300962,3.98280489755196,5.119775181679591,10.638040290537372
triple_ensemble_BNBUSDT_60_1h.pkl,xgb_BNBUSDT_15_15m.pkl,BNBUSDT,76,50,26,65.78947368421053,95.25305287972921,95.25305287972921,2.5578500662169903,-1.255363478120014,3.918341198199504,6.0788935924083916,10.693611021697901
xgb_BNBUSDT_60_1h.pkl,rf_BNBUSDT_15_15m.pkl,BNBUSDT,91,59,32,64.83516483516483,93.95588313502114,93.95588313502114,2.2560712578779056,-1.2235100337429805,3.3997525700604028,2.530101910068844,9.702118566623614
triple_ensemble_BNBUSDT_60_1h.pkl,rf_BNBUSDT_15_15m.pkl,BNBUSDT,88,58,30,65.9090909090909,93.90599533034623,93.90599533034623,2.253801053943369,-1.2271488599456388,3.550790655082822,2.565432731844861,10.085545104454523
ensemble_BNBUSDT_60_1h.pkl,xgb_BNBUSDT_15_15m.pkl,BNBUSDT,74,49,25,66.21621621621621,93.78063213316906,93.78063213316906,2.5591048539937877,-1.2646202285010646,3.966286004908392,6.071797291048791,10.704923059162242
quad_ensemble_BNBUSDT_60_1h.pkl,rf_BNBUSDT_15_15m.pkl,BNBUSDT,90,58,32,64.44444444444444,93.34478842139814,93.34478842139814,2.2657569514065363,-1.1896598362556552,3.4519821122563563,2.598267241486049,9.657599836585261
xgb_BNBUSDT_60_1h.pkl,xgb_BNBUSDT_15_15m.pkl,BNBUSDT,76,49,27,64.47368421052632,93.08045767528876,93.08045767528876,2.592528335574917,-1.2575344728845264,3.741415390733857,6.010242870175512,10.280499639211138
ensemble_BNBUSDT_60_1h.pkl,rf_BNBUSDT_15_15m.pkl,BNBUSDT,88,58,30,65.9090909090909,91.68189547020171,91.68189547020171,2.2162343574842778,-1.2286565754628807,3.4873209026604712,2.593997193439527,9.863573979313946
rf_BNBUSDT_60_1h.pkl,xgb_BNBUSDT_15_15m.pkl,BNBUSDT,75,48,27,64.0,90.64566554147342,90.64566554147342,2.606577792332113,-1.2766692033506686,3.629692063609895,4.386040311538352,9.973155226824788
rf_BNBUSDT_60_1h.pkl,rf_BNBUSDT_15_15m.pkl,BNBUSDT,90,57,33,63.33333333333333,88.3225707391031,88.3225707391031,2.242533484580431,-1.1970253903630756,3.235910415180727,2.0590973042261105,9.21645207259337
ensemble_BNBUSDT_60_1h.pkl,quad_ensemble_BNBUSDT_15_15m.pkl,BNBUSDT,82,50,32,60.97560975609756,80.30673906901478,80.30673906901478,2.3764422067212756,-1.2036053520952794,3.085056859823642,3.1717271694996865,8.704921448811296
