model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
quad_ensemble_BTCUSDT_60_1h.pkl,ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,66,47,19,71.21212121212122,99.89981624539291,99.89981624539291,2.568656652318332,-1.0961603375562492,5.796638671737369,1.4728634673905263,13.861182216162167
quad_ensemble_BTCUSDT_60_1h.pkl,triple_ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,66,46,20,69.6969696969697,96.69619022770465,96.69619022770465,2.596461576411275,-1.1370521143606982,5.252056216529338,1.4669891991695958,13.152717128416727
quad_ensemble_BTCUSDT_60_1h.pkl,xgb_BTCUSDT_15_15m.pkl,BTCUSDT,62,44,18,70.96774193548387,96.36146119447,96.36146119447,2.64631178672522,-1.1153476345244207,5.799772147350783,1.460622139354078,13.969061716076096
rf_BTCUSDT_60_1h.pkl,ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,66,46,20,69.6969696969697,94.17624841997497,94.17624841997497,2.5437011561397678,-1.141700238122713,5.124385949801856,1.467157477762368,12.843947831858658
rf_BTCUSDT_60_1h.pkl,rf_BTCUSDT_15_15m.pkl,BTCUSDT,75,50,25,66.66666666666666,86.61176228219986,86.61176228219986,2.374446858795324,-1.2844232263026532,3.6972966700865677,3.5330198271259374,10.113870339273557
rf_BTCUSDT_60_1h.pkl,triple_ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,65,44,21,67.6923076923077,86.39893832116053,86.39893832116053,2.509591022679913,-1.143955556035983,4.596499126598139,1.4768459218131205,11.859003463171032
xgb_BTCUSDT_60_1h.pkl,ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,67,44,23,65.67164179104478,86.35142663325968,86.35142663325968,2.553403124255707,-1.1303613406083186,4.321424502716544,1.3662124839382057,11.19381054284367
quad_ensemble_BTCUSDT_60_1h.pkl,quad_ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,67,46,21,68.65671641791045,85.09703765299011,85.09703765299011,2.461780634882663,-1.3402319786482084,4.023536188358089,3.4977422860067713,10.859169953134986
ensemble_BTCUSDT_60_1h.pkl,ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,68,44,24,64.70588235294117,84.79515905207009,84.79515905207009,2.5555196404420255,-1.1519877136407908,4.0669872476359386,1.3575525551846028,10.636896413798103
rf_BTCUSDT_60_1h.pkl,xgb_BTCUSDT_15_15m.pkl,BTCUSDT,60,40,20,66.66666666666666,82.50283835514918,82.50283835514918,2.6324090635793183,-1.1396762094011734,4.619573597947579,1.4953724398687742,11.682355416732122
xgb_BTCUSDT_60_1h.pkl,triple_ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,67,43,24,64.17910447761194,82.34922921400275,82.34922921400275,2.553892494837672,-1.1445061693340473,3.9979898543607697,1.3934533873549018,10.578922385914531
triple_ensemble_BTCUSDT_60_1h.pkl,ensemble_BTCUSDT_15_15m.pkl,BTCUSDT,68,43,25,63.23529411764706,81.32203549965112,81.32203549965112,2.582968763382739,-1.189824853032267,3.7339161824499456,1.4128865827907302,10.093711910729729
