model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
triple_ensemble_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,121,90,31,74.3801652892562,144.2053187282186,144.2053187282186,2.0825709472724343,-1.3943892427838864,4.336073122463692,6.085576179205086,9.859841295678027
triple_ensemble_ETHUSDT_60_1h.pkl,triple_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,124,91,33,73.38709677419355,143.30171483152932,143.30171483152932,2.066868646235782,-1.3570706659371763,4.1998895238201746,6.053836191966762,9.597135964099012
triple_ensemble_ETHUSDT_60_1h.pkl,ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,125,90,35,72.0,139.67223260866243,139.67223260866243,2.086659944360757,-1.3750617823944493,3.902149756821327,6.187436312815703,9.148389987843437
ensemble_ETHUSDT_60_1h.pkl,rf_ETHUSDT_15_15m.pkl,ETHUSDT,129,93,36,72.09302325581395,138.4408776887088,138.4408776887088,2.0311756903421605,-1.4016239309197842,3.743660300715534,6.552524730202889,8.836191344881872
triple_ensemble_ETHUSDT_60_1h.pkl,rf_ETHUSDT_15_15m.pkl,ETHUSDT,125,90,35,72.0,137.21089381838578,137.21089381838578,2.067275716214629,-1.3955405897408806,3.809170353605974,6.580543263842503,8.966618845869633
quad_ensemble_ETHUSDT_60_1h.pkl,rf_ETHUSDT_15_15m.pkl,ETHUSDT,124,90,34,72.58064516129032,136.34994343432686,136.34994343432686,2.0484701835075856,-1.412128620039883,3.839891775465553,6.450444983135821,9.00303918535882
quad_ensemble_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,123,89,34,72.35772357723577,133.07479498319742,133.07479498319742,2.029918999254294,-1.3996469397186702,3.796394181461248,6.213010764333172,8.897163368286991
quad_ensemble_ETHUSDT_60_1h.pkl,triple_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,123,89,34,72.35772357723577,132.91248582254588,132.91248582254588,2.028095300820005,-1.3996469397186635,3.792983465010404,6.221279636887185,8.886814658281192
triple_ensemble_ETHUSDT_60_1h.pkl,xgb_ETHUSDT_15_15m.pkl,ETHUSDT,129,89,40,68.9922480620155,131.6250264315887,131.6250264315887,2.0861917784920987,-1.3511510463552021,3.4354239814018905,6.339230168013674,8.271792818267903
ensemble_ETHUSDT_60_1h.pkl,quad_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,124,88,36,70.96774193548387,130.75585341967397,130.75585341967397,2.0663697766317175,-1.4190190812199202,3.5595899924847334,6.303521546808335,8.541367898976757
ensemble_ETHUSDT_60_1h.pkl,triple_ensemble_ETHUSDT_15_15m.pkl,ETHUSDT,124,89,35,71.7741935483871,130.1911549017088,130.1911549017088,2.0354588969171408,-1.456133912111904,3.554536538134072,6.342402245785042,8.511058965288118
quad_ensemble_ETHUSDT_60_1h.pkl,xgb_ETHUSDT_15_15m.pkl,ETHUSDT,129,90,39,69.76744186046511,129.271042669461,129.271042669461,2.0236954578058084,-1.3554243213605586,3.4454645438282894,6.216722179373326,8.228949779862347
