model_1h,model_15m,symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_pnl_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct,sharpe_ratio
quad_ensemble_SOLUSDT_60_1h.pkl,xgb_SOLUSDT_15_15m.pkl,SOLUSDT,120,80,40,66.66666666666666,150.03302378890928,150.03302378890928,2.57602661801196,-1.4012276413011902,3.676813876751451,5.669823803759601,9.648610071630513
quad_ensemble_SOLUSDT_60_1h.pkl,rf_SOLUSDT_15_15m.pkl,SOLUSDT,127,83,44,65.35433070866141,141.95518851829576,141.95518851829576,2.3637099310573912,-1.2325621763515378,3.617518488241008,2.5783875129835936,10.035220758541199
quad_ensemble_SOLUSDT_60_1h.pkl,ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,123,80,43,65.04065040650406,141.471007437748,141.471007437748,2.435996749138357,-1.2420635463562955,3.6488366383800686,2.5455579791277008,10.088022476182813
triple_ensemble_SOLUSDT_60_1h.pkl,xgb_SOLUSDT_15_15m.pkl,SOLUSDT,126,79,47,62.698412698412696,138.96851446220793,138.96851446220793,2.583970844105591,-1.386493238768805,3.132557751292626,5.930959388994539,8.37950633112868
quad_ensemble_SOLUSDT_60_1h.pkl,triple_ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,122,79,43,64.75409836065575,136.97114227627762,136.97114227627762,2.492966257199806,-1.3947253963373738,3.2838728040221192,5.654264788366812,8.842261211755416
triple_ensemble_SOLUSDT_60_1h.pkl,rf_SOLUSDT_15_15m.pkl,SOLUSDT,131,84,47,64.12213740458014,136.69892828450367,136.69892828450367,2.3357867395106346,-1.2661097411572277,3.297184628863323,2.6278553148030914,9.234425583113818
ensemble_SOLUSDT_60_1h.pkl,xgb_SOLUSDT_15_15m.pkl,SOLUSDT,118,75,43,63.559322033898304,135.33929817032538,135.33929817032538,2.6067518302147428,-1.3992346301344276,3.249390824855726,5.876154977339381,8.651191366694933
triple_ensemble_SOLUSDT_60_1h.pkl,ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,128,80,48,62.5,131.9511710398959,131.9511710398959,2.4114380991123774,-1.2700807685228017,3.1644156797957823,2.3606636711536257,8.878235093240475
ensemble_SOLUSDT_60_1h.pkl,ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,122,77,45,63.114754098360656,130.69141216499776,130.69141216499776,2.4421900039513598,-1.274604847539047,3.278552140511646,2.499168894257251,9.171757580311624
ensemble_SOLUSDT_60_1h.pkl,rf_SOLUSDT_15_15m.pkl,SOLUSDT,126,80,46,63.49206349206349,128.98890534590498,128.98890534590498,2.3422953990783184,-1.2694505778339227,3.208913593736857,2.6936275576232624,8.995206937813776
xgb_SOLUSDT_60_1h.pkl,ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,127,77,50,60.629921259842526,125.53587761320935,125.53587761320935,2.4374987133165162,-1.2430304662432508,3.0198358933648684,4.451362684370938,8.479216972683187
triple_ensemble_SOLUSDT_60_1h.pkl,triple_ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,129,79,50,61.240310077519375,124.80020179897946,124.80020179897946,2.4644610086248626,-1.3978443576476949,2.7856094080315836,5.965393899306752,7.53158935584262
xgb_SOLUSDT_60_1h.pkl,xgb_SOLUSDT_15_15m.pkl,SOLUSDT,124,75,49,60.483870967741936,124.59091948185505,124.59091948185505,2.552556422089504,-1.3643022892828132,2.8637158686415014,4.93604442144723,7.697348103550629
ensemble_SOLUSDT_60_1h.pkl,triple_ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,124,76,48,61.29032258064516,124.3517366578584,124.3517366578584,2.5128913134272293,-1.3880833992210626,2.8663584492299443,5.983683546571657,7.766560147660802
xgb_SOLUSDT_60_1h.pkl,rf_SOLUSDT_15_15m.pkl,SOLUSDT,130,79,51,60.76923076923077,124.23812513803182,124.23812513803183,2.370058842125046,-1.2352259488205246,2.9721425636332115,3.572665827904208,8.350144443444421
rf_SOLUSDT_60_1h.pkl,ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,125,76,49,60.8,121.57114917541242,121.5711491754124,2.412010850456694,-1.2600341930468675,2.969028994938089,2.47251301331671,8.343203504660917
rf_SOLUSDT_60_1h.pkl,triple_ensemble_SOLUSDT_15_15m.pkl,SOLUSDT,129,77,52,59.68992248062015,121.55353003605791,121.55353003605791,2.4946596019037077,-1.3564472944332233,2.7233016681901625,5.953850716256731,7.338928810254584
